Nombre_Eq1,Nombre_Eq2,Gol_Match_Eq1,Gol_Match_Eq2,GANADOR,Gls90_Eq1,Ast90_Eq1,G+A90_Eq1,G-PK90_Eq1,G+A-PK90_Eq1,SCA90_Eq1,GCA90_Eq1,Sh90_Eq1,SoT90_Eq1,SoT%_Eq1,G/Sh_Eq1,G/SoT_Eq1,GA90_Eq1,Save%_Eq1,SoTA_Eq1,Gls90_Eq2,Ast90_Eq2,G+A90_Eq2,G-PK90_Eq2,G+A-PK90_Eq2,SCA90_Eq2,GCA90_Eq2,Sh90_Eq2,SoT90_Eq2,SoT%_Eq2,G/Sh_Eq2,G/SoT_Eq2,GA90_Eq2,Save%_Eq2,SoTA_Eq2
ch Young Boys,de RB Leipzig,1,3,2,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,44,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,30
it Milan,eng Newcastle Utd,0,0,0,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,27,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,32
eng Manchester City,rs Red Star,3,1,1,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,19,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,45
fr Paris S-G,de Dortmund,2,0,1,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,36,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,26
it Lazio,es Atlético Madrid,1,1,0,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,31,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,31
es Barcelona,be Antwerp,5,0,1,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,22,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,36
nl Feyenoord,sct Celtic,2,0,1,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,21,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,38
ua Shakhtar,pt Porto,1,3,2,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,37,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,24
es Real Madrid,de Union Berlin,1,0,1,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,35,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,29
tr Galatasaray,dk FC Copenhagen,2,2,0,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,25,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,44
pt Benfica,at RB Salzburg,0,2,2,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,34,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,33
pt Braga,it Napoli,1,2,2,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,32,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,35
eng Arsenal,nl PSV Eindhoven,4,0,1,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,20,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,27
es Real Sociedad,it Inter,1,1,0,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,25,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,25
de Bayern Munich,eng Manchester Utd,4,3,1,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,22,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,35
es Sevilla,fr Lens,1,1,0,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,27,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,32
de Union Berlin,pt Braga,2,3,2,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,29,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,32
at RB Salzburg,es Real Sociedad,0,2,2,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,33,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,25
eng Manchester Utd,tr Galatasaray,2,3,2,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,35,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,25
nl PSV Eindhoven,es Sevilla,2,2,0,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,27,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,27
it Napoli,es Real Madrid,2,3,2,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,35,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,35
fr Lens,eng Arsenal,2,1,1,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,32,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,20
dk FC Copenhagen,de Bayern Munich,1,2,2,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,44,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,22
it Inter,pt Benfica,1,0,1,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,25,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,34
be Antwerp,ua Shakhtar,2,3,2,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,36,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,37
es Atlético Madrid,nl Feyenoord,3,2,1,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,31,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,21
sct Celtic,it Lazio,1,2,2,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,38,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,31
pt Porto,es Barcelona,0,1,2,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,24,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,22
eng Newcastle Utd,fr Paris S-G,4,1,1,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,32,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,36
rs Red Star,ch Young Boys,2,2,0,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,45,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,44
de Dortmund,it Milan,0,0,0,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,26,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,27
de RB Leipzig,eng Manchester City,1,3,2,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,30,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,19
it Inter,at RB Salzburg,2,1,1,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,25,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,33
tr Galatasaray,de Bayern Munich,1,3,2,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,25,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,22
eng Manchester Utd,dk FC Copenhagen,1,0,1,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,35,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,44
pt Braga,es Real Madrid,1,2,2,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,32,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,35
pt Benfica,es Real Sociedad,0,1,2,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,34,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,25
fr Lens,nl PSV Eindhoven,1,1,0,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,32,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,27
de Union Berlin,it Napoli,0,1,2,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,29,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,35
es Sevilla,eng Arsenal,1,2,2,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,27,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,20
nl Feyenoord,it Lazio,3,1,1,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,21,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,31
es Barcelona,ua Shakhtar,2,1,1,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,22,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,37
eng Newcastle Utd,de Dortmund,0,1,2,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,32,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,26
sct Celtic,es Atlético Madrid,2,2,0,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,38,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,31
be Antwerp,pt Porto,1,4,2,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,36,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,24
ch Young Boys,eng Manchester City,1,3,2,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,44,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,19
fr Paris S-G,it Milan,3,0,1,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,36,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,27
