Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
0959c2a2,Federico Valverde,"MF,FW",es Real Madrid,0.19,0.28,0.47,0.19,0.47,2.23,0.74,33.3,0.08,0.25,4.0,0.56,,,
08990838,Denis Vavro,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.75,0.5,66.7,0.0,0.0,0.25,0.0,,,
fd51b456,Lucas Vázquez,DF,es Real Madrid,0.0,0.45,0.45,0.0,0.45,0.0,0.0,,,,3.6,0.9,,,
6bc49da7,Gabriel Veron,"MF,FW",pt Porto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
1467af0d,Marco Verratti,MF,fr Paris S-G,0.0,0.14,0.14,0.0,0.14,0.29,0.0,0.0,0.0,,2.31,0.43,,,
3b029691,Vitinha,MF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.77,0.31,40.0,0.0,0.0,1.54,0.0,,,
d0d8dd44,Stefan de Vrij,DF,it Inter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
86dd77d1,Kyle Walker,"DF,FW",eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,,1.28,0.32,,,
cb64672e,Paul Wanner,"DF,FW",de Bayern Munich,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,,2.5,0.0,,,
f9acca3a,Wendell,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,1.26,0.63,50.0,0.0,0.0,3.15,0.0,,,
49fe9070,Timo Werner,FW,de RB Leipzig,0.36,0.36,0.72,0.36,0.72,2.34,1.08,46.2,0.15,0.33,2.16,0.54,,,
c19a2df1,Josh Wilson-Esbrand,DF,eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.96,0.0,,,
5dfc6ad5,Axel Witsel,"DF,MF",es Atlético Madrid,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.0,,0.97,0.19,,,
fa661778,Marius Wolf,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0,2.56,1.02,40.0,0.0,0.0,1.53,0.0,,,
6b9960cf,Warren Zaire-Emery,MF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.17,0.0,,,
6bb2c084,Andre-Frank Zambo Anguissa,MF,it Napoli,0.14,0.42,0.55,0.14,0.55,1.25,0.28,22.2,0.11,0.5,4.02,0.97,,,
3b12b11f,Alessandro Zanoli,DF,it Napoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.5,0.0,,,
f15b778f,Zeca,MF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,,0.0,0.0,,,
d19ef4ef,Alessio Zerbin,FW,it Napoli,0.0,0.0,0.0,0.0,0.0,3.21,3.21,100.0,0.0,0.0,1.61,0.0,,,
a5296e55,Piotr Zieliński,MF,it Napoli,0.58,0.29,0.87,0.29,0.58,2.04,1.16,57.1,0.14,0.25,5.95,1.02,,,
